# Dataset: comisiones_paridad
# Generado: 2026-05-24 01:25
# Filas: 2236
# Fuente: Composición de comisiones permanentes — HCDN
# URL fuente: https://www.hcdn.gob.ar/comisiones/permanentes/
# Método: Scraping de páginas /integrantes.html. Snapshots históricos via Wayback Machine. Género inferido del nombre para snapshots sin padrón cargado
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
comision_slug,comision_nombre,categoria_tematica,camara,cargo_canonico,cargo_crudo,orden_jerarquico,diputado_slug,apellido,nombre,bloque,distrito,genero,fecha_nacimiento,profesion_categoria
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,bbiellac,Biella,Bernardo,INNOVACIÓN FEDERAL,SALTA,M,1963-01-31,Salud
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,ebruno,Bruno,Eliana,LA LIBERTAD AVANZA,SALTA,F,1988-08-31,Economía y Contabilidad
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,ccastagneto,Castagneto,Carlos Daniel,UNIÓN POR LA PATRIA,BUENOS AIRES,M,1960-11-01,Economía y Contabilidad
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,mgcoletta,Coletta,Mariela,PROVINCIAS UNIDAS,CIUDAD DE BUENOS AIRES,F,1989-05-16,Economía y Contabilidad
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,gestevez,Estévez,Gabriela Beatriz,UNIÓN POR LA PATRIA,CORDOBA,F,1978-02-11,Salud
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,mflores,Flores,Maria Gabriela,LA LIBERTAD AVANZA,SALTA,F,1974-10-03,Derecho
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,afreites,Freites,Andrea,UNIÓN POR LA PATRIA,TIERRA DEL FUEGO,M,1977-02-11,Educación y Docencia
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,agiampieri,Giampieri,Antonela,PRO,CIUDAD DE BUENOS AIRES,F,1988-09-20,Derecho
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,mgestevarena,González Estevarena,María Luisa,LA LIBERTAD AVANZA,BUENOS AIRES,F,1956-07-06,Derecho
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,aleone,Leone,Andrés,LA LIBERTAD AVANZA,CIUDAD DE BUENOS AIRES,M,1970-09-07,Agropecuario
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,lmarclay,Marclay,Marianela,UNIÓN POR LA PATRIA,ENTRE RIOS,F,1984-04-03,Ciencias Sociales y Políticas
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,jmarino,Marino,Juan,UNIÓN POR LA PATRIA,BUENOS AIRES,M,1987-11-25,Otras / Sin definir
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,mmetrala,Metral Asensio,Julieta,LA LIBERTAD AVANZA,MENDOZA,F,1989-08-23,Derecho
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,gmunoz,Muñoz,Gabriela Luciana,LA LIBERTAD AVANZA,NEUQUEN,F,1990-02-27,Artes y Cultura
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,eneder,Neder,Estela Mary,UNIÓN POR LA PATRIA,SANTIAGO DEL ESTERO,F,1957-12-12,Salud
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,bosuna,Osuna,Blanca Inés,UNIÓN POR LA PATRIA,ENTRE RIOS,F,1950-10-25,Educación y Docencia
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,mgparola,Parola,María Graciela,UNIÓN POR LA PATRIA,FORMOSA,F,1978-09-06,Derecho
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,mpatinob,Patiño Brizuela,Marcos,LA LIBERTAD AVANZA,CORDOBA,M,1977-11-14,Derecho
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,fpelli,Pelli,Federico Agustín,LA LIBERTAD AVANZA,TUCUMAN,M,1985-06-23,Economía y Contabilidad
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,ytomassoni,Tomassoni,Yamile,LA LIBERTAD AVANZA,SANTA FE,F,1978-05-27,Educación y Docencia
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,avera,Vera,Andrea Fernanda,LA LIBERTAD AVANZA,BUENOS AIRES,M,1994-07-16,Salud
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,pverasay,Verasay,Pamela Fernanda,UCR - UNIÓN CÍVICA RADICAL,MENDOZA,F,1980-04-26,Economía y Contabilidad
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,pyedlin,Yedlin,Pablo Raúl,UNIÓN POR LA PATRIA,TUCUMAN,M,1966-07-16,Salud
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,myeza,Yeza,Martín,PRO,BUENOS AIRES,M,1986-01-03,Otras / Sin definir
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,nzaracho,Zaracho,Natalia,UNIÓN POR LA PATRIA,BUENOS AIRES,F,1989-07-05,Trabajo y Oficios
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,presidente,PRESIDENTE,1,mardohain,Ardohain,Martín,PRO,LA PAMPA,M,1968-02-29,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vicepresidente_1,VICEPRESIDENTE 1ª,2,gcaguero,Agüero,Guillermo César,UCR - UNIÓN CÍVICA RADICAL,CHACO,M,1971-04-23,Derecho
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vicepresidente_2,VICEPRESIDENTE 2ª,3,fmorchio,Morchio,Francisco,LA LIBERTAD AVANZA,ENTRE RIOS,M,1975-05-25,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,secretario,SECRETARIO,5,cgutierrez,Gutiérrez,Carlos,PROVINCIAS UNIDAS,CORDOBA,M,1953-10-27,Empresa y Comercio
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,secretario_4,SECRETARIO 4ª,5,aleone,Leone,Andrés,LA LIBERTAD AVANZA,CIUDAD DE BUENOS AIRES,M,1970-09-07,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,enali,Alí,"Ernesto ""pipi""",UNIÓN POR LA PATRIA,SAN LUIS,M,1971-10-04,Derecho
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,pansaloni,Ansaloni,Pablo,LA LIBERTAD AVANZA,BUENOS AIRES,M,1971-05-09,Trabajo y Oficios
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,bavico,Avico,Belén,LA LIBERTAD AVANZA,CORDOBA,F,1979-11-27,Empresa y Comercio
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,lbasterra,Basterra,Luis Eugenio,UNIÓN POR LA PATRIA,FORMOSA,M,1958-10-14,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,abasualdo,Basualdo,Atilio,LA LIBERTAD AVANZA,FORMOSA,M,1962-04-04,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,bbenedit,Benedit,Beltrán,LA LIBERTAD AVANZA,ENTRE RIOS,M,1957-09-28,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,gbordet,Bordet,Gustavo,UNIÓN POR LA PATRIA,ENTRE RIOS,M,1962-02-21,Economía y Contabilidad
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,aborgatta,Borgatta,Alejandrina,UNIÓN POR LA PATRIA,SANTA FE,F,1984-02-10,Ciencias Sociales y Políticas
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,rchiconi,Chiconi,Abel,LA LIBERTAD AVANZA,SAN JUAN,M,1986-01-25,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,sdolce,Dolce,Sergio,UNIÓN POR LA PATRIA,CHACO,M,1979-02-28,Trabajo y Oficios
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,fdiaz,Díaz,Fernanda,UNIÓN POR LA PATRIA,BUENOS AIRES,F,1990-02-20,Comunicación y Periodismo
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,gestevez,Estévez,Gabriela Beatriz,UNIÓN POR LA PATRIA,CORDOBA,F,1978-02-11,Salud
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,aferran,Ferrán,Abelardo,UNIÓN POR LA PATRIA,LA PAMPA,M,1959-07-26,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,afregonese,Fregonese,Alicia,PRO,ENTRE RIOS,F,1961-01-09,Otras / Sin definir
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,efelix,Félix,Emir,UNIÓN POR LA PATRIA,MENDOZA,M,1964-08-07,Empresa y Comercio
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,cadgarcia,García,Carlos,LA LIBERTAD AVANZA,CHACO,M,1971-09-25,Agropecuario
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,rhadad,Hadad,Raúl,UNIÓN POR LA PATRIA,CORRIENTES,M,1986-03-29,Otras / Sin definir
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,,Herrera Ahuad,Oscar A.,INNOVACIÓN FEDERAL,MISIONES,,,
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,alaumann,Laumann,Andrés Ariel,LA LIBERTAD AVANZA,ENTRE RIOS,M,1972-02-08,Empresa y Comercio
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,elluch,Lluch,Enrique,LA LIBERTAD AVANZA,CORDOBA,M,1982-11-25,Empresa y Comercio
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,mjlopez,López,Jimena,UNIÓN POR LA PATRIA,BUENOS AIRES,F,1979-10-26,Ciencias Sociales y Políticas
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,jnunez,Nuñez,José,PROVINCIAS UNIDAS,SANTA FE,M,1974-11-12,Trabajo y Oficios
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,jpeluc,Peluc,José,LA LIBERTAD AVANZA,SAN JUAN,M,1972-10-10,Empresa y Comercio
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,ssanturior,Santurio,Santiago,LA LIBERTAD AVANZA,BUENOS AIRES,M,1988-01-09,Educación y Docencia
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,gscaglia,Scaglia,Gisela,PROVINCIAS UNIDAS,SANTA FE,F,1976-10-22,Ciencias Sociales y Políticas
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,lsoldano,Soldano,Laura,LA LIBERTAD AVANZA,CORDOBA,F,1980-09-22,Empresa y Comercio
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,ptita,Tita,Paulo Agustín,UNIÓN POR LA PATRIA,TIERRA DEL FUEGO,M,1976-01-15,Economía y Contabilidad
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,hurien,Urien,Hernán,LA LIBERTAD AVANZA,BUENOS AIRES,M,1988-11-09,Trabajo y Oficios
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,czapata,Zapata,Carlos Raúl,LA LIBERTAD AVANZA,SALTA,M,1957-01-30,Economía y Contabilidad
cayganaderia,AGRICULTURA Y GANADERIA,"Producción, Recursos y Trabajo",diputados,vocal,VOCAL,6,czulli,Zulli,Christian Alejandro,UNIÓN POR LA PATRIA,CORRIENTES,M,1987-04-24,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,presidente,PRESIDENTE,1,arauschenberger,Rauschenberger,Ariel,UNIÓN POR LA PATRIA,LA PAMPA,M,1966-04-23,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vicepresidente_1,VICEPRESIDENTE 1ª,2,nemma,Emma,Nicolás,LA LIBERTAD AVANZA,CIUDAD DE BUENOS AIRES,M,1981-10-02,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,calmiron,Almirón,Lisandro,LA LIBERTAD AVANZA,CORRIENTES,M,1973-12-06,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,candino,Andino,Cristian,UNIÓN POR LA PATRIA,SAN JUAN,M,1973-05-02,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,gbordet,Bordet,Gustavo,UNIÓN POR LA PATRIA,ENTRE RIOS,M,1962-02-21,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,cabrizuela,Brizuela,Adrián,LA LIBERTAD AVANZA,CATAMARCA,M,1972-08-26,Educación y Docencia
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,scapozzi,Capozzi,Sergio Eduardo,PROVINCIAS UNIDAS,RIO NEGRO,M,1953-10-31,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,acarrancio,Carrancio,Alejandro,LA LIBERTAD AVANZA,BUENOS AIRES,M,1976-07-01,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,ccastagneto,Castagneto,Carlos Daniel,UNIÓN POR LA PATRIA,BUENOS AIRES,M,1960-11-01,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,rdaives,Daives,Ricardo,UNIÓN POR LA PATRIA,SANTIAGO DEL ESTERO,M,1950-01-06,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,fdeandreis,De Andreis,Fernando,PRO,CIUDAD DE BUENOS AIRES,M,1976-01-10,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,dfernandezm,Fernández Molero,Daiana,PRO,CIUDAD DE BUENOS AIRES,F,1985-10-04,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,afreites,Freites,Andrea,UNIÓN POR LA PATRIA,TIERRA DEL FUEGO,M,1977-02-11,Educación y Docencia
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,ihagman,Hagman,Itai,UNIÓN POR LA PATRIA,CIUDAD DE BUENOS AIRES,M,1983-02-13,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,dhartfield,Hartfield,Diego,LA LIBERTAD AVANZA,MISIONES,M,1981-01-31,Empresa y Comercio
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,mkirchner,Kirchner,Máximo Carlos,UNIÓN POR LA PATRIA,BUENOS AIRES,M,1977-02-16,Otras / Sin definir
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,gpmartinez,Martínez,Germán Pedro,UNIÓN POR LA PATRIA,SANTA FE,M,1975-02-22,Ciencias Sociales y Políticas
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,mmolinuevo,Molinuevo,Soledad,LA LIBERTAD AVANZA,TUCUMAN,F,1973-05-03,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,jumoreno,Moreno Ovalle,Julio,LA LIBERTAD AVANZA,SALTA,M,1954-10-26,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,jmukdise,Mukdise,Jorge,UNIÓN POR LA PATRIA,SANTIAGO DEL ESTERO,M,1972-12-23,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,lnieri,Nieri,Lisandro,UCR - UNIÓN CÍVICA RADICAL,MENDOZA,M,1972-06-12,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,lpetri,Petri,Luis,LA LIBERTAD AVANZA,MENDOZA,M,1977-04-01,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,mquintar,Quintar,Manuel,LA LIBERTAD AVANZA,JUJUY,M,1982-01-18,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,vravera,Ravera,Valentina,LA LIBERTAD AVANZA,SANTA FE,F,2000-10-20,Estudiante
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,aravier,Ravier,Adrián,LA LIBERTAD AVANZA,LA PAMPA,M,1978-11-29,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,kreichardt,Reichardt,Karen,LA LIBERTAD AVANZA,BUENOS AIRES,F,1969-05-21,Comunicación y Periodismo
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,jrizzotti,Rizzotti,Jorge,PROVINCIAS UNIDAS,JUJUY,M,1962-02-02,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,ltorres,Torres,Alejandra,PROVINCIAS UNIDAS,CORDOBA,F,1960-12-12,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,czapata,Zapata,Carlos Raúl,LA LIBERTAD AVANZA,SALTA,M,1957-01-30,Economía y Contabilidad
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,czulli,Zulli,Christian Alejandro,UNIÓN POR LA PATRIA,CORRIENTES,M,1987-04-24,Derecho
cmtyprevisionales,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,Economía y Hacienda,diputados,vocal,VOCAL,6,caalvarez,Álvarez,Claudio,INNOVACIÓN FEDERAL,SAN LUIS,M,1976-07-30,Trabajo y Oficios
caconstitucionales,ASUNTOS CONSTITUCIONALES,"Justicia, Seguridad y Derechos",diputados,presidente,PRESIDENTE,1,nmayoraz,Mayoraz,Nicolás,LA LIBERTAD AVANZA,SANTA FE,M,1968-09-11,Derecho
caconstitucionales,ASUNTOS CONSTITUCIONALES,"Justicia, Seguridad y Derechos",diputados,vicepresidente_1,VICEPRESIDENTE 1ª,2,dgiuliano,Giuliano,Diego A.,UNIÓN POR LA PATRIA,SANTA FE,M,1965-01-14,Derecho
